date,dv_canada,dv_mexico,dv_china,dv_eu,dv_world,m_canada,m_mexico,m_china,m_eu,m_world,share_canada,share_mexico,share_china,share_eu,dv_row,m_row,share_row
2011-10-01,2044938,796653,15764072,10095492,59297283,26681.3,22853.7,37824.1,31525.2,191809.6,7.664311708949715,3.4858819359666047,41.67732213059928,32.0235621026988,30596128,72925.3,41.955436590593386
2011-11-01,2221589,817274,14423549,10361498,57736632,26177,23146.8,36764.9,31741.9,190317.8,8.486797570386216,3.530829315499335,39.23184613585241,32.64296718217876,29912722,72487.20000000001,41.26621251752033
2011-12-01,2339486,714974,13200183,10580131,55964895,26558.1,21351.7,32872.3,32496.8,184516.6,8.808935880202274,3.3485577260827006,40.155945887570994,32.55745488786588,29130121,71237.69999999998,40.89143950464432
2012-01-01,2491948,1010815,15468694,9388108,57465042,26787,21503.9,34417.5,29591.8,183533.2,9.302825997685444,4.70061244704449,44.944269630275294,31.72536986597639,29105477,71233.00000000001,40.85954122387095
2012-02-01,2718404,1014118,11827322,9566387,53911999,26230.6,22617.2,28105.2,28539.4,171831.1,10.363483869983913,4.483835311179103,42.082326402231615,33.51993034191329,28785768,66338.70000000001,43.39211953203785
2012-03-01,2619124,937220,12160939,11877348,60104488,29185,25115,31431.3,34910,197350.1,8.974212780537947,3.731714115070675,38.69053777603854,34.0227671154397,32509857,76708.8,42.38087025217446
2012-04-01,2726111,791564,14648568,10396107,58645435,27802.8,22757.4,33016.3,31285.8,189466.2,9.80516710547139,3.478270804221923,44.36768505253465,33.22947471376791,30083085,74603.90000000002,40.32374312871042
2012-05-01,2472849,893813,15229832,11148638,61430285,27612.8,24815,34937.8,33452.2,198409.6,8.955444576428324,3.6019061051783194,43.59127363485966,33.32706966955836,31685153,77591.80000000002,40.83569784435983
2012-06-01,2641409,892546,15611937,10598013,61088335,27330.9,23513.9,35949.4,31455,191786.7,9.664551844249548,3.7958228962443488,43.42753147479513,33.692618025751074,31344430,73537.50000000003,42.62373618901919
2012-07-01,2286599,781924,17071292,11657907,61082019,24973.7,22526.3,37930.8,33344,192838.7,9.156028141604969,3.4711603769815724,45.00641167599945,34.962532989443375,29284297,74063.90000000001,39.53923166346897
2012-08-01,2516579,892104,16888743,11811853,63938780,27027.6,23763.8,37280.6,33040.8,194941.5,9.311144903728042,3.7540460700729685,45.30169310579765,35.749294811263645,31829501,73828.7,43.11263912272599
2012-09-01,2189209,849888,16819404,10295760,57073056,26052,22151.1,37891.8,29522.7,185682.8,8.403228159066483,3.8367756003087887,44.38797840165945,34.87404607302177,26918795,70065.19999999998,38.41963628163483
2012-10-01,2389961,925294,16883227,11569870,60863752,27661.3,24817.6,40257.1,32520.8,198767.1,8.64008922212622,3.728378247695184,41.93850774149156,35.57683082826991,29095400,73510.3,39.58003164182434
2012-11-01,2370474,949559,14530619,11791241,58170453,27751.8,23731.3,39543.7,33649.2,194553.2,8.541694592783172,4.00129365015823,36.74572435052866,35.0416681525861,28528560,69877.20000000004,40.826707423880734
2012-12-01,2268516,717451,14135775,10838925,54908491,25847.7,20281.1,34857.6,30443.7,177106.9,8.776471407514014,3.537534946329342,40.552921027265214,35.60317898284374,26947824,65676.79999999997,41.0309637497564
2013-01-01,2686820,1247411,16337242,9505872,57393721,28055,21555.7,37193.7,28540.3,185168.6,9.576973801461415,5.7869194690963415,43.924756074281404,33.30683980196424,27616376,69823.9,39.551465902076515
